                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    136,                0.52251,                0.34504,                0.84708,                0.99768,                      1,                  0.995,                0.92126,                0.42203,                0.24783,                0.80987,              0.0012247,              0.0012247,              0.0012247
                    137,                 0.5078,                0.33762,                0.85359,                0.99782,                      1,                  0.995,                0.92302,                0.40759,                0.24259,                 0.8034,              0.0012214,              0.0012214,              0.0012214
                    138,                0.49678,                0.32535,                0.83929,                0.99774,                      1,                  0.995,                 0.9114,                0.43016,                0.23179,                 0.8092,              0.0012181,              0.0012181,              0.0012181
                    139,                0.49139,                0.31963,                0.85035,                0.99622,                      1,                  0.995,                0.90981,                0.43211,                0.23985,                0.80646,              0.0012148,              0.0012148,              0.0012148
                    140,                0.51732,                0.34879,                0.84791,                0.99562,                      1,                  0.995,                0.92913,                 0.4192,                0.25275,                0.80596,              0.0012115,              0.0012115,              0.0012115
                    141,                0.51096,                 0.3334,                0.85902,                0.99716,                      1,                  0.995,                0.92263,                0.41833,                0.25325,                0.80599,              0.0012082,              0.0012082,              0.0012082
                    142,                0.46841,                0.32219,                0.83806,                 0.9972,                      1,                  0.995,                0.92668,                0.41287,                0.24841,                0.80346,              0.0012049,              0.0012049,              0.0012049
                    143,                0.49848,                0.33208,                0.83541,                0.99661,                      1,                  0.995,                0.92301,                 0.4217,                0.25029,                0.80648,              0.0012016,              0.0012016,              0.0012016
                    144,                0.50198,                0.33971,                0.85126,                0.99684,                      1,                  0.995,                0.90236,                0.40822,                0.23969,                0.80504,              0.0011983,              0.0011983,              0.0011983
                    145,                0.49857,                0.33076,                0.85048,                 0.9966,                      1,                  0.995,                0.91344,                0.42463,                0.24014,                0.80889,               0.001195,               0.001195,               0.001195
                    146,                0.49837,                0.32404,                0.85107,                0.99749,                      1,                  0.995,                0.91304,                0.44013,                0.23718,                0.81058,              0.0011917,              0.0011917,              0.0011917
                    147,                0.51393,                0.34462,                0.86262,                0.99788,                      1,                  0.995,                0.91736,                0.41968,                0.23883,                0.80593,              0.0011884,              0.0011884,              0.0011884
                    148,                0.51065,                0.33296,                0.86192,                0.99782,                      1,                  0.995,                0.91425,                0.44291,                0.25237,                0.81171,              0.0011851,              0.0011851,              0.0011851
                    149,                0.53522,                0.35241,                0.86155,                0.99742,                      1,                  0.995,                0.92061,                0.45089,                0.25751,                0.81178,              0.0011818,              0.0011818,              0.0011818
                    150,                0.49906,                0.32626,                0.83646,                0.99707,                      1,                  0.995,                 0.9269,                0.40811,                0.24417,                0.80488,              0.0011785,              0.0011785,              0.0011785
                    151,                0.51535,                0.32853,                0.85694,                0.99695,                      1,                  0.995,                0.93411,                0.40217,                0.23863,                0.80455,              0.0011752,              0.0011752,              0.0011752
                    152,                0.53614,                0.34175,                0.84529,                0.99749,                      1,                  0.995,                0.91008,                 0.4283,                 0.2393,                0.80776,              0.0011719,              0.0011719,              0.0011719
                    153,                0.51407,                0.32865,                0.84568,                0.99784,                      1,                  0.995,                0.92739,                0.38316,                0.23211,                0.80034,              0.0011686,              0.0011686,              0.0011686
                    154,                 0.4728,                0.31824,                 0.8354,                0.99775,                      1,                  0.995,                0.92213,                0.40111,                0.21497,                0.80639,              0.0011653,              0.0011653,              0.0011653
                    155,                0.50404,                0.31682,                0.84733,                0.99755,                      1,                  0.995,                 0.9266,                0.42063,                0.23215,                0.80805,               0.001162,               0.001162,               0.001162
                    156,                0.48731,                0.32284,                0.83762,                0.99695,                      1,                  0.995,                0.92128,                0.41372,                0.22882,                0.80547,              0.0011587,              0.0011587,              0.0011587
                    157,                0.51294,                 0.3263,                0.84666,                0.99738,                      1,                  0.995,                0.91945,                0.41745,                0.21839,                0.80729,              0.0011554,              0.0011554,              0.0011554
                    158,                  0.475,                0.30242,                 0.8461,                0.99778,                      1,                  0.995,                0.92405,                0.41226,                0.22299,                0.80318,              0.0011521,              0.0011521,              0.0011521
                    159,                0.47969,                0.31459,                0.83266,                0.99753,                      1,                  0.995,                0.92035,                0.42436,                0.24411,                0.80563,              0.0011488,              0.0011488,              0.0011488
                    160,                0.48906,                0.32247,                0.83817,                0.99742,                      1,                  0.995,                0.93212,                0.40411,                0.23572,                0.80414,              0.0011455,              0.0011455,              0.0011455
