                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 0.7453,                0.79044,                0.91795,                0.84389,                      1,                  0.995,                0.87027,                0.59228,                0.78587,                0.87756,              0.0010866,              0.0010866,              0.0010866
                     69,                0.73054,                0.82236,                0.93232,                0.84389,                      1,                  0.995,                0.87027,                0.59228,                0.78587,                0.87756,              0.0010842,              0.0010842,              0.0010842
                     70,                0.71666,                0.74659,                0.90655,                0.81365,                      1,                  0.995,                0.87235,                 0.5751,                 0.8079,                0.87356,              0.0010817,              0.0010817,              0.0010817
                     71,                0.75657,                0.79408,                0.92941,                0.81365,                      1,                  0.995,                0.87235,                 0.5751,                 0.8079,                0.87356,              0.0010792,              0.0010792,              0.0010792
                     72,                0.72262,                0.81593,                0.93457,                0.83725,                      1,                  0.995,                0.87176,                0.60264,                0.82921,                0.87335,              0.0010768,              0.0010768,              0.0010768
                     73,                0.70108,                0.81815,                0.93067,                0.83725,                      1,                  0.995,                0.87176,                0.60264,                0.82921,                0.87335,              0.0010743,              0.0010743,              0.0010743
                     74,                0.67361,                0.70986,                0.87144,                0.93304,                      1,                  0.995,                0.85839,                  0.614,                 0.7247,                  0.879,              0.0010718,              0.0010718,              0.0010718
                     75,                0.66015,                0.71106,                0.91787,                0.93304,                      1,                  0.995,                0.85839,                  0.614,                 0.7247,                  0.879,              0.0010693,              0.0010693,              0.0010693
                     76,                0.69594,                0.77129,                0.93466,                0.92436,                 0.9917,                  0.995,                 0.8695,                0.60984,                0.71982,                0.88454,              0.0010669,              0.0010669,              0.0010669
                     77,                0.68314,                0.72915,                0.91232,                0.92436,                 0.9917,                  0.995,                 0.8695,                0.60984,                0.71982,                0.88454,              0.0010644,              0.0010644,              0.0010644
                     78,                0.68425,                0.73739,                0.92459,                0.93297,                0.99546,                  0.995,                0.85122,                0.63402,                0.71064,                0.88545,              0.0010619,              0.0010619,              0.0010619
                     79,                0.66892,                0.71775,                0.90698,                0.93297,                0.99546,                  0.995,                0.85122,                0.63402,                0.71064,                0.88545,              0.0010594,              0.0010594,              0.0010594
                     80,                 0.7072,                0.76095,                0.90603,                0.96412,                0.99561,                  0.995,                0.84044,                0.62794,                0.64519,                0.88225,               0.001057,               0.001057,               0.001057
                     81,                0.71407,                 0.7334,                0.96108,                0.96412,                0.99561,                  0.995,                0.84044,                0.62794,                0.64519,                0.88225,              0.0010545,              0.0010545,              0.0010545
                     82,                0.69313,                  0.841,                0.94447,                0.94346,                      1,                  0.995,                0.86493,                0.60337,                0.71401,                0.87361,               0.001052,               0.001052,               0.001052
                     83,                0.67696,                0.75059,                0.93065,                0.94346,                      1,                  0.995,                0.86493,                0.60337,                0.71401,                0.87361,              0.0010495,              0.0010495,              0.0010495
                     84,                0.73795,                0.75705,                0.93462,                0.92462,                      1,                  0.995,                0.87079,                0.57899,                0.71812,                0.86814,               0.001047,               0.001047,               0.001047
                     85,                0.66597,                0.75096,                 0.9298,                0.92462,                      1,                  0.995,                0.87079,                0.57899,                0.71812,                0.86814,              0.0010446,              0.0010446,              0.0010446
                     86,                0.69378,                0.75338,                0.91368,                0.92823,                      1,                  0.995,                0.85742,                0.61509,                0.70552,                0.87827,              0.0010421,              0.0010421,              0.0010421
                     87,                0.68759,                0.71255,                0.89534,                0.92823,                      1,                  0.995,                0.85742,                0.61509,                0.70552,                0.87827,              0.0010396,              0.0010396,              0.0010396
